Metric,RGVH,Base only,Unfiltered,SPY (rescaled)
Annualised Return ($),$969,$945,$363,"$2,468"
Annualised Vol ($),$300,$379,$756,"$2,958"
Sharpe,3.23,2.49,0.48,0.83
Sortino,2.75,2.37,0.46,1.00
Calmar,0.53,0.27,0.04,0.22
CAGR,4.29%,4.21%,1.86%,8.45%
Max DD ($),"$-1,422","$-2,717","$-7,301","$-6,674"
Ulcer Index,0.03,0.06,0.27,0.04
Hit Rate,68.47%,64.08%,61.27%,55.28%
Win/Loss ratio,1.14,0.98,0.69,0.95
Profit Factor,2.47,1.74,1.10,1.18
Skew,0.14,-0.65,-2.46,-0.32
Kurtosis,6.04,4.05,14.81,15.36
Best Day ($),$98.19,$98.19,$220,"$1,837"
Worst Day ($),$-113,$-152,$-465,"$-1,914"
VaR 95% ($),$-20.20,$-36.59,$-81.66,$-280
CVaR 95% ($),$-42.51,$-61.68,$-135,$-453
Time in Market,34.37%,52.71%,96.41%,96.16%
